"number","callOtherCarrierRatio","weekdayCall","color","memberProfile","averageArpu","closeness","nighttimeCall","averageDurationProfile","aisRatioProfile","daytimeCall","daytimeNighttimeProfile","outGroupCall","averageNoOfCallProfile","member","weekdayWeekendProfile","averageArpuProfile","callOtherCarrierProfile","eccentricity","averageNoOfCall","aisRatio","averageDurationCall","weekendCall","inGroupCall","betweenness","communityID"
"9","1","82","#a39d53","Very Low","24.75","0.0","74","Low","Medium","36","Nighttime","0","Very Low","7","Weekday","Very Low","Very High","0.0","27.5","0.57","1580.56","28","110","0.0","9"
"801","1","5","#86c4e4","Very Low","44.33","0.0","4","Very Low","Medium","4","Average","0","Very Low","5","Average","Very Low","Very High","0.0","2.67","0.6","87.12","3","8","0.0","801"
"802","1","32","#2274b4","Very Low","193.5","0.0","4","Very Low","Low","34","Daytime","0","Very Low","12","Weekday","Very Low","Very High","0.0","9.5","0.33","85.74","6","38","0.0","802"
"803","1","26","#598472","Very Low","42.29","0.0","26","Very Low","Very High","12","Nighttime","0","Very Low","6","Average","Very Low","Very High","0.0","7.6","0.83","345.26","12","38","0.0","803"
"804","0.93","1732","#513fda","Very Low","128.41","1.9397590361445782","563","Very Low","Medium","1631","Daytime","66","Very Low","420","Weekday","Very Low","Very High","3.0","10.97","0.48","143.5","462","2194","29.72423644279553","804"
"805","1","20","#83779f","Very Low","27.86","0.0","2","Very Low","High","41","Daytime","0","Very Low","10","Weekend","Very Low","Very High","0.0","6.14","0.7","280.09","23","43","0.0","805"
"806","1","24","#9a3c51","Very Low","152.75","0.0","20","Very Low","High","8","Nighttime","0","Very Low","5","Weekday","Very Low","Very High","0.0","7","0.8","80.36","4","28","0.0","806"
"807","1","0","#c5b270","Very Low","92.5","0.0","12","Low","Very High","6","Nighttime","0","Very Low","4","Weekend","Very Low","Very High","0.0","4.5","1","1148.11","18","18","0.0","807"
"1229","1","40","#654883","Very Low","85.3","0.0","20","Very Low","High","31","Daytime","0","Very Low","11","Weekday","Very Low","Very High","0.0","6.38","0.73","201.76","11","51","0.0","1229"
"808","1","15","#286b2c","Very Low","278.92","0.0","7","Very Low","High","11","Average","0","Very Low","9","Weekday","Very Low","Very High","0.0","3","0.67","40.28","3","18","0.0","808"
"809","1","9","#9c7488","Very Low","466.5","0.0","7","Very Low","Very Low","10","Average","0","Very Low","8","Weekend","Very Low","Very High","0.0","17","0.12","29.47","8","17","0.0","809"
"1000","1","18","#59d861","Very Low","111.4","0.0","24","Very Low","Very High","6","Nighttime","0","Very Low","6","Weekend","Very Low","Very High","0.0","6","0.83","572.93","12","30","0.0","1000"
"1242","1","17","#6d9eb4","Very Low","299.67","0.0","9","Very Low","High","13","Average","0","Very Low","4","Average","Very Low","Very High","0.0","7.33","0.75","91.41","5","22","0.0","1242"
