"number","callOtherCarrierRatio","weekdayCall","color","memberProfile","averageArpu","closeness","nighttimeCall","averageDurationProfile","aisRatioProfile","daytimeCall","daytimeNighttimeProfile","outGroupCall","averageNoOfCallProfile","member","weekdayWeekendProfile","averageArpuProfile","callOtherCarrierProfile","eccentricity","averageNoOfCall","aisRatio","averageDurationCall","weekendCall","inGroupCall","betweenness","communityID"
"654","0.84","4857","#97768b","Low","110.22","1.6867469879518073","2263","Very Low","Low","3616","Daytime","365","Very Low","1266","Weekday","Very Low","Very High","3.0","10.31","0.45","139.69","1022","5879","226.77240497381234","654"
"896","0.85","9232","#5d5391","Medium","114.05","1.4759036144578312","4218","Very Low","Low","7400","Daytime","1147","Very Low","2169","Weekday","Very Low","Very High","3.0","11.86","0.45","136.34","2386","11618","819.8807053697196","896"
"413","1","23","#7b698e","Very Low","162.5","0.0","13","Very Low","Low","17","Average","0","Very Low","11","Weekday","Very Low","Very High","0.0","7.5","0.36","428.13","7","30","0.0","413"
"655","1","2","#476693","Very Low","55.23","0.0","4","Very Low","Medium","2","Average","0","Very Low","5","Weekend","Very Low","Very High","0.0","2","0.6","75.33","4","6","0.0","655"
"897","0.87","6201","#2f1d46","Low","183.26","1.7228915662650603","3033","Very Low","Low","4667","Daytime","442","Very Low","1317","Weekday","Very Low","Very High","3.0","15.81","0.37","103.93","1499","7700","132.69683152557167","897"
"1079","0.85","679","#4c6c8a","Very Low","76","2.8862275449101795","338","Very Low","High","586","Daytime","13","Very Low","118","Weekday","Very Low","Very High","4.0","10.87","0.72","509.77","245","924","0.0","1079"
"414","1","56","#b335db","Very Low","154.91","0.0","40","Very Low","Medium","30","Nighttime","0","Very Low","14","Weekday","Very Low","Very High","0.0","8.75","0.57","130.14","14","70","0.0","414"
"656","1","22","#437a96","Very Low","0","0.0","6","Very Low","Very High","26","Daytime","0","Very Low","11","Average","Very Low","Very High","0.0","3.56","0.82","58.38","10","32","0.0","656"
"898","1","35","#a62a80","Very Low","172.24","0.0","13","Very Low","Medium","33","Daytime","0","Very Low","19","Weekday","Very Low","Very High","0.0","3.83","0.63","283.28","11","46","0.0","898"
"1078","1","60","#c5d4bf","Very Low","170.29","0.0","8","Very Low","Low","54","Daytime","0","Very Low","16","Weekday","Very Low","Very High","0.0","8.86","0.44","60","2","62","0.0","1078"
"415","1","148","#3b2e7a","Very Low","54.54","0.0","26","Very Low","High","142","Daytime","0","Very Low","15","Weekday","Very Low","Very High","0.0","16.8","0.67","311.43","20","168","0.0","415"
"657","1","38","#396971","Very Low","80","0.0","18","Very Low","High","30","Daytime","0","Very Low","8","Weekday","Very Low","Very High","0.0","8","0.75","247.08","10","48","0.0","657"
"899","1","72","#2a6583","Very Low","41.78","0.0","32","Very Low","Medium","54","Daytime","0","Very Low","36","Weekday","Very Low","Very High","0.0","5.06","0.47","121.58","14","86","0.0","899"
"416","1","7","#a644e0","Very Low","22.5","0.0","4","Very Low","Very High","9","Average","0","Very Low","4","Weekend","Very Low","Very High","0.0","3.25","1","55.23","6","13","0.0","416"
"658","1","17","#789565","Very Low","64.34","0.0","11","Very Low","Very High","11","Average","0","Very Low","7","Average","Very Low","Very High","0.0","3.14","1","178.86","5","22","0.0","658"
"417","1","9","#a91b40","Very Low","434.17","0.0","4","Very Low","Low","6","Average","0","Very Low","8","Weekday","Very Low","Very High","0.0","3.33","0.38","208.2","1","10","0.0","417"
"659","1","14","#abba7a","Very Low","105.05","0.0","16","Very Low","Medium","6","Nighttime","0","Very Low","5","Weekend","Very Low","Very High","0.0","7.33","0.6","92.18","8","22","0.0","659"
"418","1","13","#83906b","Very Low","144.25","0.0","2","Very Low","High","15","Daytime","0","Very Low","7","Average","Very Low","Very High","0.0","3.4","0.71","736.82","4","17","0.0","418"
"419","1","1","#d5a561","Very Low","121.81","0.0","0","Very Low","Medium","4","Average","0","Very Low","4","Weekend","Very Low","Very High","0.0","2","0.5","30.25","3","4","0.0","419"
"1091","0.97","3032","#669a59","Very Low","89.47","1.783132530120482","825","Very Low","Low","2659","Daytime","183","Very Low","683","Weekday","Very Low","Very High","3.0","13.25","0.39","129.27","452","3484","33.29569799567924","1091"
"1090","1","11","#35d6f1","Very Low","24.75","0.0","0","Very Low","Medium","16","Daytime","0","Very Low","8","Average","Very Low","Very High","0.0","4","0.5","37.81","5","16","0.0","1090"
"1099","0.95","86","#4e8c8b","Very Low","111","0.0","46","Very Low","Low","68","Daytime","0","Very Low","22","Weekday","Very Low","Very High","0.0","16.29","0.32","137.49","28","114","0.0","1099"
"1098","0.66","446","#ab68e8","Very Low","44.63","0.0","76","Very Low","Very High","472","Daytime","0","Very Low","21","Weekday","Very Low","High","0.0","27.4","0.95","160.61","102","548","0.0","1098"
"1097","1","13","#1a7e7d","Very Low","99.41","0.0","3","Very Low","Medium","12","Daytime","0","Very Low","5","Weekday","Very Low","Very High","0.0","5","0.6","27.4","2","15","0.0","1097"
"1096","1","17","#cb8bbb","Very Low","57.25","0.0","14","Very Low","Low","21","Daytime","0","Very Low","13","Weekend","Very Low","Very High","0.0","8.75","0.31","15.8","18","35","0.0","1096"
"1095","1","39","#81c399","Very Low","152.93","0.0","11","Very Low","Medium","28","Daytime","0","Very Low","6","Weekday","Very Low","Very High","0.0","13","0.5","221.46","0","39","0.0","1095"
"1094","1","26","#0f3898","Very Low","0","0.0","8","Very Low","Medium","21","Daytime","0","Very Low","19","Weekday","Very Low","Very High","0.0","3.22","0.47","77.14","3","29","0.0","1094"
"1093","1","10","#6a7ca8","Very Low","137.95","0.0","4","Very Low","High","9","Average","0","Very Low","3","Average","Very Low","Very High","0.0","6.5","0.67","36.77","3","13","0.0","1093"
"1092","0.95","949","#4c713e","Very Low","87.15","2.072289156626506","386","Very Low","Low","919","Daytime","58","Very Low","268","Weekday","Very Low","Very High","3.0","10.88","0.45","146.11","356","1305","7.731093514524833","1092"
"660","1","38","#a2bb74","Very Low","63.54","0.0","28","Very Low","Very High","23","Average","0","Very Low","8","Weekday","Very Low","Very High","0.0","7.29","0.88","583.67","13","51","0.0","660"
"661","1","22","#2abada","Very Low","437","0.0","4","Very Low","Very Low","20","Daytime","0","Very Low","8","Weekday","Very Low","Very High","0.0","12","0.25","46","2","24","0.0","661"
"420","0.88","26","#ab6c80","Very Low","106.5","0.0","2","Very Low","High","32","Daytime","0","Very Low","5","Weekday","Very Low","Very High","0.0","8.5","0.8","321.88","8","34","0.0","420"
"662","1","17","#3a55ba","Very Low","173.67","0.0","2","Very Low","Low","18","Daytime","0","Very Low","9","Weekday","Very Low","Very High","0.0","6.67","0.33","148.6","3","20","0.0","662"
"421","1","23","#928948","Very Low","100.78","0.0","16","Very Low","High","16","Average","0","Very Low","4","Average","Very Low","Very High","0.0","10.67","0.75","130.84","9","32","0.0","421"
"663","1","74","#195b31","Very Low","113.31","0.0","30","Very Low","Low","54","Daytime","0","Very Low","23","Weekday","Very Low","Very High","0.0","10.5","0.35","117.43","10","84","0.0","663"
"422","1","5","#a6bb78","Very Low","33.99","0.0","3","Very Low","Medium","5","Average","0","Very Low","9","Average","Very Low","Very High","0.0","1.6","0.56","247.25","3","8","0.0","422"
"664","1","70","#696373","Very Low","152.88","0.0","21","Very Low","Low","64","Daytime","0","Very Low","28","Weekday","Very Low","Very High","0.0","10.62","0.29","114.88","15","85","0.0","664"
"423","1","32","#74372e","Very Low","77.01","0.0","27","Low","Very High","9","Nighttime","0","Very Low","7","Weekday","Very Low","Very High","0.0","6","0.86","1652.14","4","36","0.0","423"
"665","1","42","#95b993","Very Low","9.63","0.0","6","Very Low","Very Low","40","Daytime","0","Low","5","Weekday","Very Low","Very High","0.0","46","0.2","73.83","4","46","0.0","665"
"424","1","30","#40744c","Very Low","95.1","0.0","20","Very Low","Medium","36","Daytime","0","Very Low","9","Weekend","Very Low","Very High","0.0","11.2","0.56","113.36","26","56","0.0","424"
"666","1","5","#677858","Very Low","144.5","0.0","3","Very Low","Medium","6","Average","0","Very Low","8","Average","Very Low","Very High","0.0","2.25","0.5","29.78","4","9","0.0","666"
"425","1","16","#54a434","Very Low","756.98","0.0","16","Very Low","Low","7","Nighttime","0","Very Low","8","Average","Very Low","Very High","0.0","7.67","0.38","156.65","7","23","0.0","425"
"667","1","15","#e3ae6d","Very Low","87.88","0.0","23","Very Low","Very High","7","Nighttime","0","Very Low","10","Weekend","Very Low","Very High","0.0","3.33","0.9","288.63","15","30","0.0","667"
"1089","1","92","#c847d8","Very Low","44.71","0.0","24","Very Low","Low","80","Daytime","0","Very Low","28","Weekday","Very Low","Very High","0.0","8.67","0.43","56.63","12","104","0.0","1089"
"426","1","6","#87858b","Very Low","92.29","0.0","8","Very Low","Very Low","0","Nighttime","0","Very Low","4","Average","Very Low","Very High","0.0","8","0.25","43.75","2","8","0.0","426"
"668","0.84","114","#a8a555","Very Low","77.7","0.0","118","Very Low","High","92","Nighttime","0","Very Low","32","Weekend","Very Low","Very High","0.0","8.75","0.75","545.01","96","210","0.0","668"
"427","1","42","#5b32c6","Very Low","92.86","0.0","18","Very Low","Low","32","Daytime","0","Very Low","18","Weekday","Very Low","Very High","0.0","7.14","0.39","129.36","8","50","0.0","427"
"669","1","12","#82c67b","Very Low","113.4","0.0","12","Very Low","Low","3","Nighttime","0","Very Low","11","Average","Very Low","Very High","0.0","3","0.45","91.53","3","15","0.0","669"
"428","1","19","#c48281","Very Low","0","0.0","5","Very Low","Very Low","19","Daytime","0","Very Low","11","Weekday","Very Low","Very High","0.0","12","0.18","46.83","5","24","0.0","428"
"429","1","9","#4b5c86","Very Low","112.75","0.0","1","Very Low","High","10","Daytime","0","Very Low","5","Average","Very Low","Very High","0.0","2.75","0.8","63.82","2","11","0.0","429"
"670","1","8","#c5aea7","Very Low","187.12","0.0","6","Very Low","Medium","2","Average","0","Very Low","6","Weekday","Very Low","Very High","0.0","2.67","0.5","28.88","0","8","0.0","670"
"671","0.33","34","#3467dd","Very Low","183","0.0","10","Very Low","High","32","Daytime","0","Very Low","4","Weekday","Very Low","Low","0.0","14","0.75","116.81","8","42","0.0","671"
"430","1","75","#eb6086","Very Low","199.8","0.0","49","Very Low","Low","56","Daytime","0","Very Low","16","Average","Very Low","Very High","0.0","21","0.31","193.85","30","105","0.0","430"
"672","1","13","#76e992","Very Low","46.9","0.0","7","Very Low","High","13","Daytime","0","Very Low","13","Average","Very Low","Very High","0.0","2","0.77","785.75","7","20","0.0","672"
"431","1","13","#936f78","Very Low","136.88","0.0","11","Very Low","Low","7","Average","0","Very Low","11","Average","Very Low","Very High","0.0","4.5","0.36","108.89","5","18","0.0","431"
"673","1","30","#4e79a6","Very Low","47.57","0.0","28","Very Low","Medium","13","Nighttime","0","Very Low","13","Average","Very Low","Very High","0.0","5.86","0.54","109.17","11","41","0.0","673"
"432","0.91","256","#271560","Very Low","492.65","0.0","80","Very Low","Low","256","Daytime","0","Very Low","46","Weekday","Very Low","Very High","0.0","21","0.35","106.4","80","336","0.0","432"
"674","0.84","58","#599a5c","Very Low","16.5","0.0","13","Very Low","Medium","50","Daytime","0","Very Low","17","Weekday","Very Low","Very High","0.0","7","0.53","81.75","5","63","0.0","674"
"433","0.26","19","#cf8b74","Very Low","435.28","0.0","16","Very Low","Medium","7","Nighttime","0","Very Low","6","Weekday","Very Low","Very Low","0.0","7.67","0.5","44.83","4","23","0.0","433"
"675","1","87","#8f3470","Very Low","35.89","0.0","43","Very Low","High","86","Daytime","0","Very Low","29","Weekend","Very Low","Very High","0.0","6.45","0.69","143","42","129","0.0","675"
"434","1","12","#2e5f52","Very Low","157.36","0.0","13","Very Low","High","14","Average","0","Very Low","11","Weekend","Very Low","Very High","0.0","3.86","0.64","452.81","15","27","0.0","434"
"676","1","17","#7175db","Very Low","385","0.0","7","Very Low","Very Low","13","Daytime","0","Very Low","6","Weekday","Very Low","Very High","0.0","20","0.17","97.2","3","20","0.0","676"
"435","1","3","#09b7dd","Very Low","367","0.0","2","Very Low","Very High","1","Average","0","Very Low","2","Average","Very Low","Very High","0.0","1.5","1","51","0","3","0.0","435"
"677","1","1","#6fc75a","Very Low","69","0.0","0","Very Low","Medium","1","Average","0","Very Low","2","Average","Very Low","Very High","0.0","1","0.5","5","0","1","0.0","677"
"436","1","104","#d177b1","Very Low","433.6","0.0","78","Very Low","Low","64","Nighttime","0","Very Low","14","Weekday","Very Low","Very High","0.0","28.4","0.36","187.48","38","142","0.0","436"
"678","1","100","#226bb0","Very Low","39.49","0.0","4","Very Low","Very High","134","Daytime","0","Very Low","12","Average","Very Low","Very High","0.0","12.55","0.92","303.71","38","138","0.0","678"
"437","1","22","#c4de8d","Very Low","150.67","0.0","26","Very Low","Medium","10","Nighttime","0","Very Low","6","Weekend","Very Low","Very High","0.0","12","0.5","43.22","14","36","0.0","437"
"679","1","22","#336c79","Very Low","117.37","0.0","14","Very Low","Medium","26","Daytime","0","Very Low","8","Weekend","Very Low","Very High","0.0","8","0.62","82.15","18","40","0.0","679"
"438","1","5","#c58a91","Very Low","8","0.0","3","Very Low","High","3","Average","0","Very Low","3","Average","Very Low","Very High","0.0","3","0.67","19.83","1","6","0.0","438"
"439","1","7","#758ee7","Very Low","282.86","0.0","2","Very Low","Very Low","11","Daytime","0","Very Low","8","Weekend","Very Low","Very High","0.0","6.5","0.25","101.31","6","13","0.0","439"
"680","1","48","#747f39","Very Low","124.75","0.0","14","Very Low","Medium","34","Daytime","0","Very Low","7","Weekday","Very Low","Very High","0.0","12","0.57","58.96","0","48","0.0","680"
"681","1","88","#486e7f","Very Low","42.28","0.0","28","Very Low","High","74","Daytime","0","Very Low","11","Weekday","Very Low","Very High","0.0","12.75","0.73","274.96","14","102","0.0","681"
"440","1","17","#845748","Very Low","57.88","0.0","4","Very Low","Low","22","Daytime","0","Very Low","14","Weekend","Very Low","Very High","0.0","5.2","0.36","67.73","9","26","0.0","440"
"682","1","26","#b150a6","Very Low","32.74","0.0","32","Very Low","Medium","8","Nighttime","0","Very Low","11","Weekend","Very Low","Very High","0.0","6.67","0.55","33.05","14","40","0.0","682"
"441","1","20","#4a546e","Very Low","110.9","0.0","3","Very Low","High","24","Daytime","0","Very Low","7","Average","Very Low","Very High","0.0","5.4","0.71","251.96","7","27","0.0","441"
"683","1","2","#2a8abd","Very Low","28.07","0.0","0","Low","Very High","4","Average","0","Very Low","3","Average","Very Low","Very High","0.0","1.33","1","949.75","2","4","0.0","683"
"200","1","28","#c481a7","Very Low","299.13","0.0","26","Very Low","Low","18","Nighttime","0","Very Low","6","Weekend","Very Low","Very High","0.0","22","0.33","251.05","16","44","0.0","200"
"442","1","20","#547642","Very Low","0","0.0","17","Very Low","High","5","Nighttime","0","Very Low","3","Weekday","Very Low","Very High","0.0","11","0.67","190.14","2","22","0.0","442"
"684","0.9","22","#6f7532","Very Low","144.76","0.0","3","Very Low","High","27","Daytime","0","Very Low","15","Average","Very Low","Very High","0.0","3","0.67","153.4","8","30","0.0","684"
"201","1","78","#b03389","Very Low","84.08","0.0","64","Very Low","Medium","26","Nighttime","0","Very Low","12","Weekday","Very Low","Very High","0.0","15","0.5","56.98","12","90","0.0","201"
"443","1","16","#695696","Very Low","99","0.0","14","Very Low","Very High","4","Nighttime","0","Very Low","4","Weekday","Very Low","Very High","0.0","4.5","1","76.44","2","18","0.0","443"
"685","1","26","#0d42aa","Very Low","13.37","0.0","114","Very Low","Very High","62","Nighttime","0","Very Low","9","Weekend","Very Low","Very High","0.0","22","0.89","475.3","150","176","0.0","685"
"202","1","26","#947044","Very Low","68.13","0.0","14","Very Low","Very High","19","Average","0","Very Low","10","Weekday","Very Low","Very High","0.0","3.67","0.9","520.45","7","33","0.0","202"
"444","1","47","#707e57","Very Low","413","0.0","26","Very Low","Very Low","25","Average","0","Very Low","22","Weekday","Very Low","Very High","0.0","10.2","0.23","159.43","4","51","0.0","444"
"686","1","6","#43179b","Very Low","50","0.0","4","Very Low","Medium","2","Average","0","Very Low","4","Weekday","Very Low","Very High","0.0","3","0.5","553.17","0","6","0.0","686"
"203","1","42","#9a4c6f","Very Low","51.06","0.0","46","Very Low","High","22","Nighttime","0","Very Low","13","Weekend","Very Low","Very High","0.0","6.8","0.77","330.59","26","68","0.0","203"
"445","1","1","#2ead63","Very Low","265.42","0.0","2","Very Low","High","0","Average","0","Very Low","3","Average","Very Low","Very High","0.0","1","0.67","18.5","1","2","0.0","445"
"687","1","78","#ba3d84","Very Low","139.53","0.0","56","Very Low","Very High","38","Nighttime","0","Very Low","6","Weekday","Very Low","Very High","0.0","18.8","0.83","491.38","16","94","0.0","687"
"204","0.9","126","#867f08","Very Low","95.65","0.0","34","Very Low","Low","121","Daytime","0","Very Low","52","Weekday","Very Low","Very High","0.0","6.74","0.44","100.43","29","155","0.0","204"
"446","1","93","#31cd44","Very Low","124.13","0.0","40","Very Low","Low","66","Daytime","0","Very Low","35","Weekday","Very Low","Very High","0.0","7.57","0.4","135.54","13","106","0.0","446"
"688","0.69","17","#394f83","Very Low","207.47","0.0","8","Very Low","Low","21","Daytime","0","Very Low","11","Weekend","Very Low","High","0.0","5.8","0.45","166.1","12","29","0.0","688"
"205","1","30","#8de753","Very Low","409.83","0.0","36","Very Low","Low","25","Nighttime","0","Very Low","11","Weekend","Very Low","Very High","0.0","20.33","0.27","92.8","31","61","0.0","205"
"447","1","4","#9fa779","Very Low","95.79","0.0","0","Very Low","High","6","Daytime","0","Very Low","4","Average","Very Low","Very High","0.0","2","0.75","302.83","2","6","0.0","447"
"689","1","64","#90cb26","Very Low","34.59","0.0","48","Very Low","Medium","46","Average","0","Very Low","12","Weekend","Very Low","Very High","0.0","13.43","0.58","74.32","30","94","0.0","689"
"206","1","90","#7ee290","Very Low","32.23","0.0","4","Very Low","High","114","Daytime","0","Very Low","17","Weekday","Very Low","Very High","0.0","9.83","0.71","404.31","28","118","0.0","206"
"448","1","44","#5fc0b3","Very Low","0","0.0","24","Very Low","High","36","Daytime","0","Very Low","4","Average","Very Low","Very High","0.0","20","0.75","199.83","16","60","0.0","448"
"207","1","56","#b94199","Very Low","223.17","0.0","6","Very Low","Medium","62","Daytime","0","Very Low","11","Weekday","Very Low","Very High","0.0","11.33","0.55","38.41","12","68","0.0","207"
"449","1","18","#bfb268","Very Low","42.97","0.0","9","Very Low","Low","19","Daytime","0","Very Low","10","Weekend","Very Low","Very High","0.0","9.33","0.3","33.61","10","28","0.0","449"
"208","1","10","#ca545f","Very Low","199","0.0","9","Very Low","Medium","5","Average","0","Very Low","5","Average","Very Low","Very High","0.0","4.67","0.6","75.07","4","14","0.0","208"
"209","1","18","#8bb87f","Very Low","93.6","0.0","9","Very Low","Low","10","Average","0","Very Low","13","Weekday","Very Low","Very High","0.0","3.8","0.38","113.26","1","19","0.0","209"
"690","1","5","#3d8ea1","Very Low","0","0.0","3","Very Low","High","2","Average","0","Very Low","4","Average","Very Low","Very High","0.0","1.67","0.75","37.2","0","5","0.0","690"
"691","0.94","28","#bd6256","Very Low","107","0.0","18","Very Low","High","14","Average","0","Very Low","10","Weekday","Very Low","Very High","0.0","4.57","0.7","80.16","4","32","0.0","691"
"450","1","18","#8c6c76","Very Low","25","0.0","12","Very Low","Very High","8","Average","0","Very Low","6","Weekday","Very Low","Very High","0.0","3.33","1","84.1","2","20","0.0","450"
"692","0.98","36","#97415d","Very Low","138.34","0.0","17","Very Low","Very High","27","Daytime","0","Very Low","9","Weekday","Very Low","Very High","0.0","5.5","0.89","218.25","8","44","0.0","692"
"451","1","11","#76a566","Very Low","52.17","0.0","3","Very Low","Medium","10","Daytime","0","Very Low","9","Weekday","Very Low","Very High","0.0","2.6","0.56","228.69","2","13","0.0","451"
"693","0.88","66","#9296a1","Very Low","100.74","0.0","15","Very Low","Very High","61","Daytime","0","Very Low","12","Weekday","Very Low","Very High","0.0","7.6","0.83","169.03","10","76","0.0","693"
"210","1","44","#919acf","Very Low","183.71","0.0","46","Very Low","Low","12","Nighttime","0","Very Low","13","Weekday","Very Low","Very High","0.0","11.6","0.38","66.24","14","58","0.0","210"
"452","1","98","#9aa3c4","Very Low","438.4","0.0","43","Very Low","Low","100","Daytime","0","Very Low","14","Weekend","Very Low","Very High","0.0","28.6","0.36","63.9","45","143","0.0","452"
"694","1","4","#ed63bb","Very Low","2","0.0","3","Very Low","High","1","Average","0","Very Low","4","Average","Very Low","Very High","0.0","1.33","0.75","35","0","4","0.0","694"
"211","1","16","#c263cb","Very Low","28.17","0.0","14","Very Low","Very High","2","Nighttime","0","Very Low","3","Weekday","Very Low","Very High","0.0","5.33","1","200.62","0","16","0.0","211"
"453","1","98","#dd6170","Very Low","223.67","0.0","68","Very Low","Low","38","Nighttime","0","Low","9","Weekday","Very Low","Very High","0.0","35.33","0.33","120.34","8","106","0.0","453"
"695","1","6","#af7662","Very Low","42.5","0.0","7","Very Low","Low","4","Average","0","Very Low","8","Weekend","Very Low","Very High","0.0","3.67","0.38","104.55","5","11","0.0","695"
"212","1","18","#8e7b67","Very Low","166.37","0.0","16","Very Low","Very High","16","Average","0","Very Low","6","Weekend","Very Low","Very High","0.0","6.4","0.83","284.44","14","32","0.0","212"
"454","0.3","92","#89ea5a","Very Low","197.58","0.0","29","Very Low","Medium","91","Daytime","0","Very Low","12","Weekday","Very Low","Low","0.0","20","0.5","87.74","28","120","0.0","454"
"696","1","12","#78c11b","Very Low","116.8","0.0","8","Very Low","Medium","6","Average","0","Very Low","8","Weekday","Very Low","Very High","0.0","2.8","0.62","113","2","14","0.0","696"
"213","1","14","#78a76b","Very Low","122.58","0.0","15","Low","Very High","9","Nighttime","0","Very Low","2","Weekend","Very Low","Very High","0.0","12","1","927.08","10","24","0.0","213"
"455","1","13","#558758","Very Low","134.75","0.0","4","Very Low","Medium","14","Daytime","0","Very Low","13","Average","Very Low","Very High","0.0","3","0.46","51.89","5","18","0.0","455"
"697","0.9","3235","#d8e73a","Very Low","132.62","1.9457831325301205","1320","Very Low","High","2983","Daytime","67","Very Low","517","Weekday","Very Low","Very High","3.0","12.29","0.68","295.8","1068","4303","44.77935165290302","697"
"214","1","6","#92767e","Very Low","24.22","0.0","4","Very Low","Very High","2","Average","0","Very Low","3","Weekday","Very Low","Very High","0.0","2","1","808.33","0","6","0.0","214"
"456","1","23","#9c3d34","Very Low","49.94","0.0","12","Very Low","Low","23","Daytime","0","Very Low","19","Weekend","Very Low","Very High","0.0","4.38","0.42","112.31","12","35","0.0","456"
"698","1","15","#369d84","Very Low","249","0.0","15","Very Low","Low","5","Nighttime","0","Very Low","5","Average","Very Low","Very High","0.0","10","0.4","32.4","5","20","0.0","698"
"215","1","20","#7a928d","Very Low","101.33","0.0","5","Very Low","Low","17","Daytime","0","Very Low","15","Weekday","Very Low","Very High","0.0","3.67","0.4","154.45","2","22","0.0","215"
"457","1","9","#97a3a9","Very Low","245.5","0.0","4","Very Low","Very Low","5","Average","0","Very Low","8","Weekday","Very Low","Very High","0.0","4.5","0.25","81.33","0","9","0.0","457"
"699","1","5","#837a24","Very Low","650","0.0","5","Very Low","Very Low","7","Average","0","Very Low","7","Weekend","Very Low","Very High","0.0","12","0.14","459.75","7","12","0.0","699"
"216","1","184","#868acc","Very Low","38.81","0.0","144","Very Low","Low","108","Nighttime","0","Very Low","48","Weekday","Very Low","Very High","0.0","12.6","0.42","187.7","68","252","0.0","216"
"458","1","132","#3f395e","Very Low","10281.33","0.0","110","Low","Very Low","50","Nighttime","0","Very High","4","Weekday","Very High","Very High","0.0","160","0.25","1102.46","28","160","0.0","458"
"217","1","104","#ac66a1","Very Low","44.51","0.0","92","Very Low","High","86","Nighttime","0","Very Low","23","Weekend","Very Low","Very High","0.0","9.89","0.78","279.69","74","178","0.0","217"
"459","1","55","#9579a9","Very Low","169.53","0.0","11","Very Low","Very Low","58","Daytime","0","Very Low","28","Weekday","Very Low","Very High","0.0","13.8","0.18","95.87","14","69","0.0","459"
"218","1","4","#725480","Very Low","199.33","0.0","2","Very Low","Low","11","Daytime","0","Very Low","10","Weekend","Very Low","Very High","0.0","4.33","0.3","94.69","9","13","0.0","218"
"219","1","26","#7abca8","Very Low","22.88","0.0","11","Very Low","Medium","18","Daytime","0","Very Low","19","Weekday","Very Low","Very High","0.0","2.42","0.63","206.03","3","29","0.0","219"
"460","1","6","#8c3ee4","Very Low","401","0.0","7","Very Low","Very Low","4","Average","0","Very Low","7","Weekend","Very Low","Very High","0.0","11","0.14","73.91","5","11","0.0","460"
"461","1","14","#1bbc40","Very Low","89.98","0.0","22","Very Low","Very Low","14","Nighttime","0","Very Low","9","Weekend","Very Low","Very High","0.0","18","0.22","46.61","22","36","0.0","461"
"220","1","23","#9c7b86","Very Low","3.09","0.0","15","Very Low","High","17","Average","0","Very Low","14","Average","Very Low","Very High","0.0","3.56","0.64","171.16","9","32","0.0","220"
"462","1","0","#917cb2","Very Low","0","0.0","6","Very Low","Low","18","Daytime","0","Very Low","6","Weekend","Very Low","Very High","0.0","12","0.33","60.08","24","24","0.0","462"
"221","1","24","#e93183","Very Low","318.62","0.0","8","Very Low","Low","19","Daytime","0","Very Low","14","Weekday","Very Low","Very High","0.0","6.75","0.29","202.37","3","27","0.0","221"
"463","1","58","#bc9bc4","Very Low","60.75","0.0","29","Very Low","High","66","Daytime","0","Very Low","17","Weekend","Very Low","Very High","0.0","7.92","0.71","181.66","37","95","0.0","463"
"222","1","8","#6ca483","Very Low","219.9","0.0","6","Very Low","Very High","2","Average","0","Very Low","2","Weekday","Very Low","Very High","0.0","4","1","14.25","0","8","0.0","222"
"464","1","31","#167a57","Very Low","0","0.0","17","Low","High","16","Average","0","Very Low","7","Weekday","Very Low","Very High","0.0","6.6","0.71","1412.15","2","33","0.0","464"
"223","1","108","#a899a8","Very Low","197.07","0.0","110","Very Low","Low","18","Nighttime","0","Very Low","18","Weekday","Very Low","Very High","0.0","16","0.44","147.84","20","128","0.0","223"
"465","1","100","#a4ce2e","Very Low","60","0.0","22","Very Low","Medium","140","Daytime","0","Very Low","10","Weekend","Very Low","Very High","0.0","27","0.6","121.25","62","162","0.0","465"
"224","1","46","#9c6298","Very Low","41.28","0.0","24","Very Low","Low","30","Daytime","0","Very Low","8","Weekday","Very Low","Very High","0.0","18","0.38","154.81","8","54","0.0","224"
"466","1","36","#8fd093","Very Low","59.14","0.0","23","Very Low","Medium","27","Average","0","Very Low","15","Average","Very Low","Very High","0.0","7.14","0.47","81.18","14","50","0.0","466"
"225","1","38","#7e2a97","Very Low","104.25","0.0","24","Very Low","Medium","36","Daytime","0","Very Low","7","Weekend","Very Low","Very High","0.0","15","0.57","46.57","22","60","0.0","225"
"467","1","40","#6aea50","Very Low","111.71","0.0","20","Very Low","Medium","26","Daytime","0","Very Low","15","Weekday","Very Low","Very High","0.0","6.57","0.47","47.2","6","46","0.0","467"
"226","1","18","#3da667","Very Low","228.5","0.0","8","Very Low","Low","12","Average","0","Very Low","6","Weekday","Very Low","Very High","0.0","10","0.33","42.6","2","20","0.0","226"
"468","1","52","#abab5f","Very Low","112.5","0.0","12","Very Low","Low","44","Daytime","0","Very Low","11","Weekday","Very Low","Very High","0.0","14","0.36","43.89","4","56","0.0","468"
"227","1","11","#9c8471","Very Low","154.85","0.0","6","Very Low","Medium","6","Average","0","Very Low","7","Weekday","Very Low","Very High","0.0","3","0.57","63.08","1","12","0.0","227"
"469","1","12","#694d58","Very Low","201.34","0.0","18","Very Low","Medium","10","Nighttime","0","Very Low","7","Weekend","Very Low","Very High","0.0","7","0.57","88.79","16","28","0.0","469"
"228","1","24","#5f8340","Very Low","315.25","0.0","26","Very Low","Low","6","Nighttime","0","Very Low","5","Average","Very Low","Very High","0.0","16","0.4","156","8","32","0.0","228"
