"a_number","b_number","duration","noDayTime","noNightTime","calleeCarrier","weight","startTime","callDay","startDate"
"1392","1331","127","9","0","","481.0","13.4912","Thursday","20151008"
"1258","1270","80","5","0","","241.0","16.063","Thursday","20151008"
"1258","1352","120","0","5","","241.0","17.1937","Tuesday","20151006"
"1116","1030","4817","33","12","","6001.0","9.5125","Thursday","20151008"
"1173","1273","646","5","0","","481.0","14.4757","Sunday","20151011"
"1273","1008","12","0","1","","1.0","3.0731","Tuesday","20151006"
"1380","1102","169","1","0","","1.0","16.5708","Monday","20151005"
"1380","1204","21","0","1","","1.0","19.3316","Sunday","20151011"
"1380","1332","359","1","0","","1.0","14.0118","Friday","20151009"
"1327","1380","3613","13","32","","5041.0","6.5443","Friday","20151009"
"1327","867","740","5","0","","721.0","8.4212","Saturday","20151010"
"886","1351","183","1","0","","1.0","15.3657","Thursday","20151008"
"1306","767","94","0","1","","1.0","18.4849","Thursday","20151008"
"958","1149","13358","48","21","","15121.0","20.4511","Thursday","20151008"
"1260","1136","2096","21","0","","2641.0","11.1021","Wednesday","20151007"
"1260","1224","110","5","0","","241.0","14.2613","Wednesday","20151007"
"1260","1169","580","0","5","","481.0","0.2719","Thursday","20151008"
"1086","1326","323","1","0","","1.0","11.1118","Sunday","20151011"
"1086","1349","25","1","0","","1.0","12.1144","Sunday","20151011"
"1259","958","1994","13","0","","2161.0","11.1453","Friday","20151009"
"1070","1133","1660","24","45","","4081.0","22.1434","Thursday","20151008"
"1227","1375","1641","25","0","","2161.0","9.0617","Wednesday","20151007"
"1261","1336","926","9","0","","961.0","15.2543","Tuesday","20151006"
"1261","1388","49","1","0","","1.0","14.2409","Tuesday","20151006"
"1384","1188","570","5","0","","481.0","15.1011","Tuesday","20151006"
"1286","1173","532","4","5","","721.0","17.0337","Wednesday","20151007"
"1075","1333","336","0","1","","1.0","18.384","Sunday","20151011"
"654","1119","4675","4","5","","4801.0","19.3038","Thursday","20151008"
"1331","1023","3861","5","4","","3841.0","10.2347","Friday","20151009"
"1331","1282","501","1","4","","481.0","14.1336","Wednesday","20151007"
"1349","1239","26","1","0","","1.0","7.1441","Sunday","20151011"
"1303","1269","570","5","0","","481.0","10.3424","Monday","20151005"
"1253","896","267","4","1","","241.0","18.4818","Thursday","20151008"
"1030","1119","697","5","0","","481.0","16.4942","Tuesday","20151006"
"1328","1252","1030","0","5","","961.0","17.5938","Thursday","20151008"
"568","1003","1195","8","1","","1441.0","18.1008","Sunday","20151011"
"1150","1367","1643","5","4","","961.0","16.5327","Friday","20151009"
"1150","1102","110","1","0","","1.0","11.2528","Friday","20151009"
"1150","1195","107","1","0","","1.0","16.54","Thursday","20151008"
"1278","1076","55","1","0","","1.0","11.2403","Wednesday","20151007"
"1278","1307","380","9","4","","721.0","11.2206","Wednesday","20151007"
"1086","1371","214","1","0","","1.0","15.1354","Wednesday","20151007"
"1259","1350","558","5","0","","721.0","8.2633","Tuesday","20151006"
"1075","767","69","1","0","","1.0","16.5118","Tuesday","20151006"
"1277","1247","204","9","0","","481.0","9.5222","Thursday","20151008"
"896","1133","13482","13","8","","13921.0","16.0138","Wednesday","20151007"
"1204","1288","1660","28","13","","3361.0","17.3803","Friday","20151009"
"989","896","122","5","0","","241.0","16.3722","Saturday","20151010"
"1204","1195","25","0","1","","1.0","17.182","Tuesday","20151006"
"1130","1277","6430","29","0","","6961.0","13.5224","Friday","20151009"
"1130","1207","305","5","0","","481.0","14.2011","Monday","20151005"
"1352","1016","22","1","0","","1.0","9.0916","Monday","20151005"
"1207","1375","593","0","13","","1201.0","21.3","Monday","20151005"
"1282","1394","45","5","0","","241.0","13.4644","Wednesday","20151007"
"1332","1003","253","1","0","","1.0","9.5233","Friday","20151009"
"1340","1215","5661","72","5","","8161.0","20.4231","Sunday","20151011"
"1340","1288","2180","32","5","","3121.0","17.563","Thursday","20151008"
"1059","1376","1072","5","0","","1201.0","15.1747","Friday","20151009"
"1107","991","4084","205","32","","14161.0","9.3924","Tuesday","20151006"
"1173","958","703","5","16","","1201.0","13.3035","Thursday","20151008"
"568","1127","3","0","1","","1.0","21.1027","Thursday","20151008"
"1205","1388","75","1","0","","1.0","10.0831","Wednesday","20151007"
"1205","1235","131","1","0","","1.0","9.4631","Tuesday","20151006"
"1205","929","66","1","0","","1.0","12.0112","Friday","20151009"
"1052","1212","1169","12","9","","1681.0","19.3517","Friday","20151009"
"621","886","215","5","0","","241.0","13.2542","Friday","20151009"
"621","1247","1089","13","0","","1441.0","13.3859","Thursday","20151008"
"1196","1347","1389","13","8","","1921.0","10.3942","Friday","20151009"
"1196","1194","881","17","0","","1201.0","10.0615","Friday","20151009"
"1004","1261","53","1","0","","1.0","13.3138","Thursday","20151008"
"1004","1227","948","33","0","","1921.0","16.4924","Monday","20151005"
"1059","1273","1845","9","12","","2401.0","6.1506","Wednesday","20151007"
"1054","887","275","5","0","","241.0","10.2832","Friday","20151009"
"1340","1375","555","5","0","","481.0","10.1306","Wednesday","20151007"
"1282","1169","3903","12","29","","5281.0","21.2915","Monday","20151005"
"1282","1326","10982","16","17","","11281.0","21.0956","Monday","20151005"
