"a_number","b_number","duration","noDayTime","noNightTime","calleeCarrier","weight","startTime","callDay","startDate"
"1368","1173","3706","44","1","","4561.0","17.2138","Wednesday","20151007"
"1218","1008","141","1","0","","1.0","7.3222","Thursday","20151008"
"1292","1350","464","13","0","","721.0","12.4507","Monday","20151005"
"1292","929","150","5","0","","241.0","10.3423","Wednesday","20151007"
"1292","904","1797","21","0","","2161.0","12.2936","Wednesday","20151007"
"1292","1207","2926","21","0","","3361.0","10.2811","Sunday","20151011"
"1292","1192","75","5","0","","241.0","8.0726","Friday","20151009"
"1340","621","781","17","4","","1441.0","8.0417","Wednesday","20151007"
"896","1023","4208","33","0","","5041.0","9.5005","Monday","20151005"
"896","1340","21887","137","84","","29041.0","6.1827","Friday","20151009"
"896","1359","326","13","0","","721.0","10.0327","Saturday","20151010"
"896","1196","665","5","0","","721.0","10.5939","Saturday","20151010"
"896","845","511","17","0","","961.0","11.363","Thursday","20151008"
"896","1194","11175","52","37","","13921.0","17.4603","Sunday","20151011"
"896","654","4329","65","28","","7681.0","16.1618","Sunday","20151011"
"896","1277","765","5","0","","721.0","9.5224","Saturday","20151010"
"886","1394","68","0","5","","241.0","18.5642","Wednesday","20151007"
"989","1109","2353","13","0","","2401.0","10.1502","Tuesday","20151006"
"989","1275","160","5","0","","241.0","14.0507","Tuesday","20151006"
"989","1059","1048","4","13","","1441.0","17.3246","Monday","20151005"
"804","1273","1755","9","0","","1921.0","14.5121","Thursday","20151008"
"804","1333","145","5","0","","241.0","13.2257","Monday","20151005"
"1382","1023","11795","0","5","","9601.0","18.2857","Thursday","20151008"
"1382","1173","1771","44","17","","4081.0","17.2829","Wednesday","20151007"
"1382","1307","604","13","0","","1201.0","10.4931","Wednesday","20151007"
"1382","1134","208","21","0","","1201.0","14.0735","Saturday","20151010"
"1382","1286","372","13","0","","721.0","15.09","Wednesday","20151007"
"1303","1376","1852","0","21","","2401.0","18.2105","Wednesday","20151007"
"1347","1285","375","0","5","","481.0","19.3018","Friday","20151009"
"1347","1173","1185","29","0","","2161.0","16.5529","Tuesday","20151006"
"1347","1186","787","13","0","","1201.0","16.1622","Tuesday","20151006"
"1347","1342","1277","5","4","","1441.0","14.4745","Thursday","20151008"
"1347","1384","1115","5","0","","961.0","14.5042","Thursday","20151008"
"1362","1081","689","13","0","","1201.0","7.1145","Friday","20151009"
"1362","654","450","5","0","","481.0","11.253","Friday","20151009"
"1362","1326","1250","0","5","","1201.0","17.0018","Monday","20151005"
"1379","1307","64","0","5","","241.0","23.2657","Thursday","20151008"
"1130","1259","2752","29","8","","3601.0","10.1211","Monday","20151005"
"1130","1226","580","5","0","","481.0","14.1504","Tuesday","20151006"
"1274","896","1517","29","0","","2401.0","11.5113","Tuesday","20151006"
"1274","1340","1450","16","5","","2161.0","4.5746","Thursday","20151008"
"1274","1350","355","13","0","","721.0","9.2013","Saturday","20151010"
"1274","1086","564","13","0","","961.0","7.463","Saturday","20151010"
"1274","767","90","5","0","","241.0","12.5141","Monday","20151005"
"1371","568","4506","85","64","","10081.0","16.0533","Monday","20151005"
"1173","1052","1156","29","12","","2641.0","13.4126","Thursday","20151008"
"1173","896","23796","125","80","","30721.0","10.2743","Tuesday","20151006"
"1173","1004","1551","16","5","","2161.0","19.375","Saturday","20151010"
"1169","1107","2223","24","21","","3121.0","21.4728","Friday","20151009"
"1371","1306","1858","13","0","","1921.0","13.0258","Tuesday","20151006"
"1371","1381","565","0","5","","481.0","18.2249","Friday","20151009"
"1130","1077","953","5","8","","1441.0","8.4828","Friday","20151009"
"1130","1214","1723","17","0","","1921.0","14.5144","Tuesday","20151006"
"1130","1188","6683","72","13","","8641.0","20.3329","Friday","20151009"
"1130","896","1737","13","0","","2161.0","10.3135","Saturday","20151010"
"1269","870","23701","65","28","","26161.0","8.3621","Friday","20151009"
"1307","1311","1878","5","16","","2641.0","13.4729","Friday","20151009"
"1196","1258","1044","0","13","","1201.0","23.504","Tuesday","20151006"
"1196","1307","4946","65","56","","9361.0","14.4359","Thursday","20151008"
"1392","621","2816","61","4","","5041.0","15.4307","Wednesday","20151007"
"1392","1328","4719","85","8","","7921.0","13.3128","Thursday","20151008"
"1173","1286","534","29","0","","1681.0","11.1015","Wednesday","20151007"
"1173","1196","189","4","1","","241.0","17.5205","Wednesday","20151007"
"1173","1003","713","0","13","","1201.0","1.5755","Sunday","20151011"
"975","1367","2712","5","4","","2641.0","16.1556","Wednesday","20151007"
"975","904","186","8","1","","481.0","20.5153","Sunday","20151011"
"975","1363","9920","93","4","","12721.0","9.491","Monday","20151005"
"975","1286","61","1","0","","1.0","14.2736","Tuesday","20151006"
"975","1003","120","1","0","","1.0","15.2603","Friday","20151009"
"975","1116","180","1","0","","1.0","10.3613","Wednesday","20151007"
"975","1307","486","8","5","","721.0","18.3804","Sunday","20151011"
"1075","1110","113","5","4","","481.0","16.1206","Tuesday","20151006"
"1173","1333","675","5","0","","721.0","12.1707","Tuesday","20151006"
"1173","1030","407","8","5","","721.0","19.1854","Monday","20151005"
"1173","867","4721","21","16","","6001.0","13.5012","Thursday","20151008"
"1186","1023","2736","16","45","","4561.0","19.4801","Wednesday","20151007"
"1186","1273","1085","32","5","","2161.0","17.5455","Friday","20151009"
"1186","1269","4369","16","33","","6001.0","4.0603","Thursday","20151008"
"1091","804","160","0","5","","241.0","17.382","Thursday","20151008"
"1091","1307","16287","101","16","","18721.0","15.215","Wednesday","20151007"
"1091","1275","150","0","5","","241.0","17.3919","Thursday","20151008"
"1091","904","461","5","8","","721.0","10.3702","Tuesday","20151006"
"1091","1376","3254","21","0","","3841.0","15.1927","Sunday","20151011"
"1091","1116","1525","5","0","","1441.0","16.5524","Friday","20151009"
"1091","897","525","5","0","","481.0","16.15","Monday","20151005"
"1273","1332","46903","256","93","","59041.0","20.3213","Thursday","20151008"
"1332","1273","81785","173","32","","87121.0","16.241","Tuesday","20151006"
"1332","1259","140","5","0","","241.0","15.1751","Friday","20151009"
"1023","1041","144","13","0","","721.0","7.5052","Wednesday","20151007"
"1023","1307","8727","72","25","","11521.0","18.3341","Friday","20151009"
"1023","1134","558","21","0","","1201.0","10.2153","Thursday","20151008"
"1023","1194","1512","16","29","","3121.0","18.1132","Saturday","20151010"
"1023","1382","155","5","0","","241.0","16.2422","Wednesday","20151007"
"1340","1227","8276","96","29","","12721.0","19.3103","Friday","20151009"
"1169","896","6693","124","45","","11761.0","17.0547","Saturday","20151010"
"1203","621","2009","41","12","","3841.0","12.0703","Thursday","20151008"
"1203","1215","3282","16","21","","4561.0","18.0738","Thursday","20151008"
"1371","1307","149501","545","436","","180961.0","15.2621","Sunday","20151011"
"1371","958","350","0","5","","481.0","17.4207","Saturday","20151010"
"1003","1023","1062","5","24","","2161.0","16.4313","Friday","20151009"
"1003","1369","13293","52","33","","15841.0","17.17","Friday","20151009"
"1221","1340","1365","13","0","","1441.0","16.101","Wednesday","20151007"
"1008","1340","18262","97","192","","28321.0","14.1313","Wednesday","20151007"
"1052","1392","35198","337","220","","53281.0","9.4826","Friday","20151009"
"1052","1307","261557","1397","748","","330721.0","10.0324","Friday","20151009"
"1052","1371","43127","141","196","","53761.0","10.574","Friday","20151009"
"1052","654","68823","73","80","","73201.0","14.3642","Friday","20151009"
"1133","1332","47","8","5","","721.0","19.1712","Thursday","20151008"
"1331","1273","4270","13","24","","5521.0","9.5827","Wednesday","20151007"
"1331","1075","7564","17","8","","8401.0","9.5003","Thursday","20151008"
"1331","1351","1771","21","0","","2641.0","9.4511","Tuesday","20151006"
"1195","1328","865","9","8","","1441.0","8.2951","Thursday","20151008"
"1195","1030","1247","9","0","","1441.0","16.4957","Sunday","20151011"
"1307","1362","351","8","5","","721.0","19.2739","Wednesday","20151007"
"1307","1392","49363","501","260","","73921.0","12.3221","Wednesday","20151007"
"1307","958","1595","21","20","","2881.0","12.232","Wednesday","20151007"
"1307","621","35003","336","141","","50401.0","19.511","Tuesday","20151006"
"1307","1116","57218","237","284","","73441.0","16.5148","Monday","20151005"
"1307","896","3785","69","36","","6961.0","14.1303","Thursday","20151008"
"1307","1052","171819","624","397","","204001.0","19.2455","Monday","20151005"
"1307","1288","2179","20","5","","2881.0","20.5343","Wednesday","20151007"
"1307","654","7750","85","72","","13441.0","7.0028","Thursday","20151008"
"1173","1371","4513","64","65","","9601.0","18.4139","Thursday","20151008"
"1173","1367","125","5","0","","241.0","15.342","Wednesday","20151007"
"1173","1149","348","0","13","","721.0","17.1908","Wednesday","20151007"
"1173","1218","315","13","0","","721.0","16.0915","Thursday","20151008"
"1052","1258","3437","25","36","","5521.0","16.4144","Friday","20151009"
"1052","1169","74227","253","284","","92161.0","12.4339","Monday","20151005"
"1392","1335","377","5","0","","481.0","8.445","Friday","20151009"
"1392","1371","3097","65","24","","6241.0","14.3025","Friday","20151009"
"1392","1352","3284","29","16","","4801.0","15.4051","Tuesday","20151006"
"1392","1215","10547","48","21","","12241.0","17.2351","Friday","20151009"
"1116","1169","38115","245","140","","50161.0","14.1746","Thursday","20151008"
"1116","1016","5585","25","8","","6721.0","14.1657","Thursday","20151008"
"1080","1307","15516","85","104","","21361.0","15.1136","Tuesday","20151006"
"1080","568","5017","61","24","","7681.0","16.4932","Wednesday","20151007"
"1080","1392","2614","16","29","","4081.0","17.5158","Friday","20151009"
"1080","621","493","8","5","","721.0","18.4501","Thursday","20151008"
"1080","1218","746","13","0","","961.0","12.3032","Saturday","20151010"
"1133","1227","4053","45","4","","5281.0","8.4644","Monday","20151005"
"1286","870","1363","13","8","","1681.0","14.5247","Monday","20151005"
"1286","1204","3418","17","60","","6001.0","16.0709","Monday","20151005"
"1335","1291","680","5","0","","721.0","11.512","Thursday","20151008"
"1335","1169","1428","13","0","","1681.0","11.1346","Tuesday","20151006"
"1335","1303","3425","5","0","","2881.0","7.4045","Thursday","20151008"
"1188","1086","2708","8","5","","2641.0","17.0119","Friday","20151009"
"1177","1130","92","1","0","","1.0","10.1519","Friday","20151009"
"897","896","1741","12","5","","2401.0","17.57","Monday","20151005"
"897","1307","32123","56","85","","36961.0","23.1225","Saturday","20151010"
"1375","1269","4096","12","13","","4561.0","19.3433","Sunday","20151011"
"1173","1336","610","0","13","","1201.0","22.3243","Monday","20151005"
"845","1169","3004","25","36","","5041.0","11.2346","Monday","20151005"
"897","568","17500","197","76","","25201.0","16.5639","Friday","20151009"
"1169","1392","87775","193","108","","97921.0","9.1753","Thursday","20151008"
"1204","1086","6657","81","4","","9361.0","10.3949","Saturday","20151010"
"1367","1259","11883","44","33","","14881.0","17.2656","Sunday","20151011"
"1367","1342","4301","21","8","","5041.0","13.05","Sunday","20151011"
"1363","1196","282","13","0","","721.0","13.02","Sunday","20151011"
"1363","1367","59990","353","104","","75361.0","15.3044","Tuesday","20151006"
"1363","975","515","5","0","","481.0","8.5502","Wednesday","20151007"
"1273","989","7640","28","9","","8161.0","23.1512","Saturday","20151010"
"1273","1350","582","13","0","","961.0","6.2206","Saturday","20151010"
"1273","1003","3797","17","4","","4561.0","16.2448","Thursday","20151008"
"1273","1236","1970","5","0","","1681.0","16.1756","Thursday","20151008"
"1273","1258","570","5","0","","481.0","14.3534","Sunday","20151011"
"1273","904","945","13","0","","1441.0","11.2509","Tuesday","20151006"
"1273","867","10302","45","8","","11281.0","11.1354","Thursday","20151008"
"1273","1318","260","5","0","","241.0","12.233","Monday","20151005"
"1038","1227","5994","40","5","","7201.0","23.2922","Friday","20151009"
"1241","1075","2115","0","5","","1921.0","18.4309","Wednesday","20151007"
"1241","757","785","5","0","","721.0","14.2302","Saturday","20151010"
"1241","1394","2290","0","13","","2401.0","20.3441","Friday","20151009"
"568","1307","30293","404","105","","46081.0","17.5715","Monday","20151005"
"568","1289","700","5","0","","721.0","11.5803","Wednesday","20151007"
"1236","1169","2585","45","32","","4801.0","15.0709","Wednesday","20151007"
"1236","1226","1470","13","0","","1681.0","13.5042","Friday","20151009"
"1070","1041","263","13","8","","1201.0","12.2644","Wednesday","20151007"
"1307","1222","5957","89","12","","9601.0","16.0946","Wednesday","20151007"
"1307","897","4404","101","64","","10321.0","15.0136","Thursday","20151008"
"1307","1215","8364","125","56","","14161.0","11.5221","Saturday","20151010"
"621","1119","3773","64","21","","6481.0","19.3453","Tuesday","20151006"
"621","1307","26111","349","124","","41761.0","15.591","Wednesday","20151007"
"621","1212","694","37","0","","2161.0","16.412","Friday","20151009"
"621","1169","10491","84","53","","13441.0","21.363","Wednesday","20151007"
"621","1016","532","17","0","","961.0","16.4221","Friday","20151009"
"1169","1222","3672","17","24","","4801.0","11.4342","Sunday","20151011"
"1340","1253","85","5","0","","241.0","6.3108","Wednesday","20151007"
"1358","982","2054","0","29","","3121.0","19.2525","Wednesday","20151007"
"1358","1368","60","0","5","","241.0","17.103","Friday","20151009"
"1358","1315","644","5","8","","721.0","14.511","Monday","20151005"
"1358","1376","3000","0","13","","3361.0","20.1122","Thursday","20151008"
"1358","1226","130","5","0","","241.0","16.1747","Monday","20151005"
"1358","1075","958","13","0","","1201.0","9.3316","Monday","20151005"
"1358","1362","245","5","0","","241.0","12.5915","Saturday","20151010"
"1236","1311","983","16","5","","1681.0","18.0217","Thursday","20151008"
"1331","1259","7417","65","0","","10081.0","15.3842","Tuesday","20151006"
"1121","1332","898","5","0","","961.0","9.1552","Friday","20151009"
"1194","1091","75","5","0","","241.0","9.5428","Saturday","20151010"
"1194","1307","19148","217","8","","26161.0","14.2356","Sunday","20151011"
"1194","1363","756","8","5","","1201.0","17.1746","Saturday","20151010"
"1194","1352","3287","13","0","","3361.0","13.4401","Friday","20151009"
"1194","1109","1718","13","0","","1921.0","14.2235","Friday","20151009"
"1194","1315","50","5","0","","241.0","14.3537","Tuesday","20151006"
"1194","989","10161","25","16","","11281.0","10.5327","Saturday","20151010"
"1259","1367","685","13","0","","1201.0","8.1109","Saturday","20151010"
"1259","1363","2816","29","0","","3361.0","11.3641","Sunday","20151011"
"1259","1307","1467","13","0","","1681.0","16.3246","Tuesday","20151006"
"1259","1365","170","5","0","","241.0","16.0543","Saturday","20151010"
"1259","804","850","13","0","","961.0","10.5349","Tuesday","20151006"
"1259","1003","3347","0","29","","3841.0","17.5815","Sunday","20151011"
"1259","1282","1560","5","0","","1441.0","9.4223","Wednesday","20151007"
"1052","1196","21746","61","176","","28561.0","15.5444","Friday","20151009"
"845","1350","11","1","0","","1.0","7.5839","Sunday","20151011"
"845","896","680","9","0","","961.0","6.2936","Saturday","20151010"
"1116","1308","22790","117","36","","28561.0","12.0401","Thursday","20151008"
"1116","1352","73376","81","160","","81121.0","13.0012","Wednesday","20151007"
"1116","1326","604","5","0","","481.0","15.0613","Wednesday","20151007"
"1116","1291","91","1","0","","1.0","12.0204","Thursday","20151008"
"1116","897","44264","120","141","","51601.0","19.0714","Friday","20151009"
"1215","1331","109","5","0","","241.0","9.4951","Thursday","20151008"
"1075","1086","47350","205","68","","54721.0","8.105","Thursday","20151008"
"1075","867","18070","80","25","","21361.0","20.2535","Tuesday","20151006"
"1075","1003","31859","53","56","","33841.0","11.4601","Saturday","20151010"
"1192","1368","341","13","12","","1441.0","14.2414","Friday","20151009"
"1192","1116","1614","17","4","","2401.0","13.3215","Friday","20151009"
"1192","1277","345","9","4","","721.0","11.4406","Thursday","20151008"
"1307","568","72262","681","396","","109201.0","12.3234","Monday","20151005"
"1204","1340","5261","28","17","","6241.0","17.2823","Friday","20151009"
"1204","1075","7146","29","20","","8641.0","10.1136","Monday","20151005"
"1204","1278","943","45","0","","2641.0","16.0545","Monday","20151005"
"1204","1041","992","77","4","","4801.0","16.5121","Sunday","20151011"
"1286","1041","963","21","0","","1441.0","11.4656","Tuesday","20151006"
"896","1310","68","1","0","","1.0","12.0741","Tuesday","20151006"
"1239","1269","7147","21","8","","7681.0","9.5945","Friday","20151009"
"1086","867","16224","73","24","","18721.0","12.3723","Wednesday","20151007"
"1086","1391","911","5","0","","961.0","13.3632","Thursday","20151008"
"1347","896","802","21","0","","1681.0","14.4125","Friday","20151009"
"904","1235","978","5","0","","1201.0","12.1017","Thursday","20151008"
"904","1192","158","1","0","","1.0","13.0725","Friday","20151009"
"1359","1226","538","17","8","","1441.0","16.5644","Saturday","20151010"
"982","1086","1786","13","0","","2161.0","12.2702","Sunday","20151011"
"929","1303","1530","24","1","","2401.0","20.4616","Friday","20151009"
"1381","1274","2317","49","8","","4081.0","12.1331","Thursday","20151008"
"1381","1394","740","5","0","","721.0","12.3821","Tuesday","20151006"
"897","1116","5557","68","49","","9601.0","18.4113","Thursday","20151008"
"845","1173","875","28","5","","1921.0","17.2202","Saturday","20151010"
"845","1391","531","5","0","","481.0","13.1013","Wednesday","20151007"
"845","904","800","17","0","","1201.0","12.432","Tuesday","20151006"
"621","1194","9402","97","16","","12721.0","10.3557","Monday","20151005"
"621","1392","1930","21","32","","3601.0","12.1714","Tuesday","20151006"
"621","1222","5486","72","13","","7921.0","19.365","Monday","20151005"
"621","1052","96245","412","253","","117841.0","19.5941","Tuesday","20151006"
"621","1328","6968","100","77","","12481.0","17.0441","Thursday","20151008"
"621","1075","1578","21","12","","2401.0","15.1259","Tuesday","20151006"
"1307","1351","1246","13","0","","1681.0","10.4439","Thursday","20151008"
"1292","1196","259","5","0","","241.0","16.0914","Tuesday","20151006"
"1292","1333","283","1","4","","241.0","15.2659","Monday","20151005"
"1224","1342","1135","0","13","","1441.0","19.1435","Wednesday","20151007"
"1224","1008","824","5","16","","1201.0","8.3711","Wednesday","20151007"
"1116","1307","130094","132","181","","140641.0","17.352","Wednesday","20151007"
"1116","1371","58380","129","44","","63361.0","16.5731","Friday","20151009"
"1116","1392","13644","153","92","","22081.0","16.1427","Wednesday","20151007"
"1116","1285","386","13","0","","721.0","16.2722","Thursday","20151008"
"1116","1052","29875","61","104","","35521.0","11.3747","Monday","20151005"
"1307","1381","855","0","5","","721.0","17.4451","Friday","20151009"
"1307","1003","12719","17","96","","17041.0","15.5633","Sunday","20151011"
"1332","1086","18276","45","0","","19201.0","15.3427","Monday","20151005"
"1332","1169","2330","5","0","","1921.0","8.4844","Monday","20151005"
"1332","1207","3700","5","0","","3121.0","13.5533","Tuesday","20151006"
"1196","1363","312","1","0","","1.0","9.3317","Sunday","20151011"
"1363","1333","277","1","0","","1.0","13.3915","Tuesday","20151006"
"1315","1075","2671","25","0","","3361.0","12.1205","Thursday","20151008"
"1367","1376","6459","32","21","","7681.0","0.2537","Monday","20151005"
"1367","1301","1557","13","0","","1681.0","12.4218","Friday","20151009"
"1367","1363","18626","165","40","","25441.0","11.5721","Sunday","20151011"
"1367","904","8100","20","5","","8881.0","22.3744","Tuesday","20151006"
"933","1116","797","9","0","","481.0","8.3435","Thursday","20151008"
"933","1241","40","1","0","","1.0","12.0809","Saturday","20151010"
"1266","1326","608","4","13","","961.0","20.3112","Tuesday","20151006"
"1266","870","2049","4","9","","2161.0","23.1008","Monday","20151005"
"1342","1102","1224","9","0","","1441.0","15.3633","Friday","20151009"
"1116","1173","2203","29","0","","2641.0","10.3511","Wednesday","20151007"
"1380","867","13833","13","20","","14401.0","12.0857","Monday","20151005"
"1380","1342","3091","25","0","","3361.0","11.5947","Monday","20151005"
"1380","1116","26","1","0","","1.0","11.141","Monday","20151005"
"1380","1259","785","5","0","","961.0","16.4653","Thursday","20151008"
"1380","1207","3726","5","0","","3361.0","7.0854","Saturday","20151010"
"896","1332","277242","232","169","","279601.0","21.1359","Friday","20151009"
"1310","1130","1371","13","0","","1681.0","14.4607","Wednesday","20151007"
"1310","870","855","5","0","","721.0","14.0049","Thursday","20151008"
"767","886","150","0","5","","241.0","18.0227","Sunday","20151011"
"1388","621","2302","5","24","","3361.0","16.4438","Thursday","20151008"
"1273","1269","26696","205","72","","34321.0","11.471","Sunday","20151011"
"1023","1196","74977","169","88","","84001.0","9.0927","Saturday","20151010"
"1023","896","4917","41","4","","6001.0","12.0736","Monday","20151005"
"886","568","1079","37","0","","2161.0","13.4851","Tuesday","20151006"
"886","1350","725","5","0","","721.0","11.1409","Thursday","20151008"
"886","1304","90","1","0","","1.0","15.2714","Thursday","20151008"
"886","1118","2810","13","0","","2881.0","14.3859","Saturday","20151010"
"1173","1239","5446","40","17","","6961.0","17.062","Thursday","20151008"
"1173","1227","9929","72","33","","12961.0","22.5721","Saturday","20151010"
"1334","1227","3305","8","17","","4081.0","21.164","Sunday","20151011"
"1334","1369","1410","5","0","","1201.0","8.1638","Tuesday","20151006"
"1307","1169","203106","1041","584","","255841.0","7.5558","Wednesday","20151007"
"1258","621","3677","36","37","","5761.0","17.02","Thursday","20151008"
"1258","1307","6240","73","24","","9601.0","12.0021","Thursday","20151008"
"1363","1269","3298","25","20","","5041.0","12.5449","Wednesday","20151007"
"1363","1102","2430","16","9","","3601.0","17.5226","Monday","20151005"
"1363","1075","3441","28","9","","4081.0","18.0133","Wednesday","20151007"
"1052","621","36840","212","177","","50161.0","20.5311","Thursday","20151008"
"1052","1116","20314","140","69","","25921.0","21.4111","Thursday","20151008"
"1052","1352","12597","129","120","","21121.0","14.0311","Thursday","20151008"
"1052","1345","725","21","4","","1441.0","14.0402","Thursday","20151008"
"1052","1328","21722","197","164","","33601.0","11.1311","Thursday","20151008"
"896","1345","229","17","0","","961.0","9.2202","Wednesday","20151007"
"896","897","3667","41","24","","5761.0","15.4139","Wednesday","20151007"
"896","1041","1193","12","5","","1681.0","20.5515","Monday","20151005"
"1392","1207","62","1","0","","1.0","14.3245","Monday","20151005"
"1392","1003","7074","21","32","","8161.0","11.252","Friday","20151009"
"1392","1296","1894","9","0","","2161.0","10.1002","Friday","20151009"
"1358","1121","1220","8","5","","1681.0","19.0435","Sunday","20151011"
"1358","1227","379","13","0","","721.0","12.5803","Monday","20151005"
"1358","1239","933","13","0","","1201.0","9.4411","Saturday","20151010"
"1358","1136","1560","5","0","","1441.0","11.374","Tuesday","20151006"
"1358","1207","1172","13","0","","1201.0","13.5514","Tuesday","20151006"
"1358","1119","315","5","0","","481.0","12.1215","Thursday","20151008"
"1358","1307","3260","5","0","","2641.0","12.2206","Tuesday","20151006"
"1008","1327","1329","16","17","","2401.0","4.1411","Sunday","20151011"
"1008","1371","37","1","0","","1.0","14.36","Sunday","20151011"
"1307","989","14114","41","28","","15841.0","15.1559","Friday","20151009"
"1307","1371","38793","560","249","","66481.0","18.194","Friday","20151009"
"1307","870","15354","45","36","","18481.0","15.1509","Friday","20151009"
"1381","870","3911","20","1","","4081.0","20.341","Monday","20151005"
"1381","1380","5118","21","0","","5281.0","16.105","Tuesday","20151006"
"1277","1310","245","5","0","","241.0","7.2643","Wednesday","20151007"
"1109","1173","313","9","0","","481.0","15.4314","Tuesday","20151006"
"1307","1340","27085","161","104","","36001.0","7.0516","Monday","20151005"
"1340","1169","6120","85","20","","9601.0","14.2635","Thursday","20151008"
"1340","1052","245","5","0","","241.0","14.0703","Thursday","20151008"
"1340","1173","289971","673","348","","323761.0","13.1442","Tuesday","20151006"
"1340","1286","3191","32","13","","4081.0","19.3109","Monday","20151005"
"1173","1340","154257","525","280","","181441.0","16.3338","Friday","20151009"
"1173","1277","2085","5","0","","1681.0","11.2745","Wednesday","20151007"
"1218","1307","13167","177","124","","23281.0","15.4718","Tuesday","20151006"
"887","1227","1249","5","8","","1441.0","9.5539","Monday","20151005"
"1380","1169","378","5","16","","1201.0","16.5603","Wednesday","20151007"
"1045","1003","280","1","0","","1.0","9.4517","Saturday","20151010"
"904","989","1509","1","8","","1441.0","16.243","Thursday","20151008"
"904","1326","284","0","1","","1.0","17.0953","Tuesday","20151006"
"904","1260","53","1","0","","1.0","15.0135","Tuesday","20151006"
"1371","621","8978","109","40","","13921.0","13.5606","Thursday","20151008"
"1292","1116","1913","5","4","","1921.0","10.0755","Wednesday","20151007"
"1333","1306","1554","9","0","","1921.0","14.3627","Thursday","20151008"
"1218","1052","5402","56","65","","9361.0","20.3531","Tuesday","20151006"
"1218","1336","2022","29","0","","2641.0","15.542","Thursday","20151008"
"1218","896","1844","29","24","","3601.0","12.0941","Thursday","20151008"
"1218","1328","20484","84","81","","25681.0","17.0354","Friday","20151009"
"1273","887","1386","29","0","","2161.0","14.3905","Wednesday","20151007"
"1343","1194","540","0","5","","481.0","17.2645","Wednesday","20151007"
"1204","1070","1106","16","9","","1921.0","20.2911","Sunday","20151011"
"1204","991","15366","72","53","","19681.0","18.3613","Wednesday","20151007"
"1204","1375","853","0","13","","1201.0","19.1932","Tuesday","20151006"
"1118","886","176","1","0","","1.0","11.2146","Thursday","20151008"
"1363","1038","21","1","0","","1.0","8.4434","Thursday","20151008"
"1376","1380","8042","21","0","","6961.0","14.1905","Monday","20151005"
"1376","1205","5560","9","0","","5761.0","14.551","Friday","20151009"
"1116","1304","147","5","0","","241.0","10.5702","Friday","20151009"
"1116","1350","2286","21","0","","2881.0","11.011","Thursday","20151008"
"1214","1273","940","1","8","","961.0","8.4431","Saturday","20151010"
"1214","1380","1704","8","1","","1921.0","18.5711","Wednesday","20151007"
"1392","1052","89637","304","273","","107521.0","17.4141","Friday","20151009"
"1392","1119","105","0","5","","241.0","17.4301","Monday","20151005"
"1392","1116","17154","116","65","","22801.0","23.5542","Monday","20151005"
"1392","1394","25","5","0","","241.0","14.1207","Monday","20151005"
"1392","1382","2228","32","21","","4321.0","17.5545","Wednesday","20151007"
"1340","1331","6214","33","0","","6961.0","10.3417","Friday","20151009"
"1224","1350","74","1","0","","1.0","15.2322","Monday","20151005"
"1340","1075","28589","145","52","","34081.0","13.2242","Friday","20151009"
"1340","1008","3546","40","13","","5041.0","19.332","Sunday","20151011"
"1340","1332","5407","72","61","","10321.0","0.4724","Thursday","20151008"
"904","1173","3323","16","29","","4801.0","18.2505","Friday","20151009"
"904","845","12066","49","4","","13921.0","14.3815","Wednesday","20151007"
"904","896","2031","17","0","","2401.0","9.1444","Thursday","20151008"
"904","1169","1395","9","0","","1681.0","15.0217","Wednesday","20151007"
"904","1367","893","8","9","","1441.0","18.3913","Sunday","20151011"
"904","1052","280","1","8","","481.0","16.1547","Wednesday","20151007"
"1052","1382","3145","25","0","","3601.0","11.5151","Friday","20151009"
"1086","1052","871","5","4","","1201.0","9.5117","Thursday","20151008"
"1318","1269","1585","16","9","","2161.0","0.5926","Friday","20151009"
"1318","870","8561","16","5","","8881.0","0.4513","Friday","20151009"
"1052","1195","3404","33","32","","5761.0","7.3151","Tuesday","20151006"
"1052","1173","345","0","5","","481.0","20.3347","Friday","20151009"
"1052","867","8422","61","56","","12241.0","13.3227","Sunday","20151011"
"1052","1102","1205","0","5","","1201.0","20.4941","Friday","20151009"
"1052","1296","8570","13","16","","9361.0","8.5233","Tuesday","20151006"
"1052","568","42976","249","132","","54481.0","13.1821","Wednesday","20151007"
"1052","1080","3353","56","21","","5521.0","18.1746","Friday","20151009"
"904","1150","172","1","0","","1.0","12.0852","Monday","20151005"
"1288","1118","4111","1","8","","3841.0","16.5533","Saturday","20151010"
"1288","870","5454","16","5","","6001.0","22.592","Friday","20151009"
"1052","1340","226","9","0","","481.0","15.284","Thursday","20151008"
"1052","1215","2798","40","41","","5521.0","18.223","Friday","20151009"
"1052","1218","3770","49","44","","6961.0","15.5648","Thursday","20151008"
"1052","1335","230","0","5","","241.0","18.2035","Friday","20151009"
"1278","1380","666","13","0","","961.0","15.2712","Sunday","20151011"
"1278","1333","3641","45","8","","5041.0","10.4741","Tuesday","20151006"
"1332","929","693","21","0","","1681.0","14.3316","Wednesday","20151007"
"1332","1326","210","0","5","","241.0","19.2709","Saturday","20151010"
"1332","1041","420","5","0","","481.0","10.5213","Wednesday","20151007"
"1081","1169","1174","16","1","","1441.0","20.5956","Thursday","20151008"
"1081","1307","964","0","9","","1201.0","18.4246","Sunday","20151011"
"1081","1328","4189","1","4","","4321.0","9.3402","Thursday","20151008"
